DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
ladcca,1,0,ch-gec,18,ladcca-ch-gec-1018-eth1,eth1,341,47.3.5.,21,21,2600:6c7f:91c0:40:1::,15,"POD 1, eCDN Node Public",,47.3.5.21,ladcca-ch-gec-1018-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::15,ladcca-ch-gec-1018-eth1.ladc.ca.charter.com,"add|a|47.3.5.21|ladcca-ch-gec-1018-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.21|ladcca-ch-gec-1018-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::15|ladcca-ch-gec-1018-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::15|ladcca-ch-gec-1018-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,19,ladcca-ch-gec-1019-eth1,eth1,341,47.3.5.,22,22,2600:6c7f:91c0:40:1::,16,"POD 1, eCDN Node Public",,47.3.5.22,ladcca-ch-gec-1019-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::16,ladcca-ch-gec-1019-eth1.ladc.ca.charter.com,"add|a|47.3.5.22|ladcca-ch-gec-1019-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.22|ladcca-ch-gec-1019-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::16|ladcca-ch-gec-1019-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::16|ladcca-ch-gec-1019-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,20,ladcca-ch-gec-1020-eth1,eth1,341,47.3.5.,23,23,2600:6c7f:91c0:40:1::,17,"POD 1, eCDN Node Public",,47.3.5.23,ladcca-ch-gec-1020-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::17,ladcca-ch-gec-1020-eth1.ladc.ca.charter.com,"add|a|47.3.5.23|ladcca-ch-gec-1020-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.23|ladcca-ch-gec-1020-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::17|ladcca-ch-gec-1020-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::17|ladcca-ch-gec-1020-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,21,ladcca-ch-gec-1021-eth1,eth1,341,47.3.5.,24,24,2600:6c7f:91c0:40:1::,18,"POD 1, eCDN Node Public",,47.3.5.24,ladcca-ch-gec-1021-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::18,ladcca-ch-gec-1021-eth1.ladc.ca.charter.com,"add|a|47.3.5.24|ladcca-ch-gec-1021-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.24|ladcca-ch-gec-1021-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::18|ladcca-ch-gec-1021-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::18|ladcca-ch-gec-1021-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,22,ladcca-ch-gec-1022-eth1,eth1,341,47.3.5.,25,25,2600:6c7f:91c0:40:1::,19,"POD 1, eCDN Node Public",,47.3.5.25,ladcca-ch-gec-1022-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::19,ladcca-ch-gec-1022-eth1.ladc.ca.charter.com,"add|a|47.3.5.25|ladcca-ch-gec-1022-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.25|ladcca-ch-gec-1022-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::19|ladcca-ch-gec-1022-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::19|ladcca-ch-gec-1022-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,23,ladcca-ch-gec-1023-eth1,eth1,341,47.3.5.,26,26,2600:6c7f:91c0:40:1::,1A,"POD 1, eCDN Node Public",,47.3.5.26,ladcca-ch-gec-1023-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::1A,ladcca-ch-gec-1023-eth1.ladc.ca.charter.com,"add|a|47.3.5.26|ladcca-ch-gec-1023-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.26|ladcca-ch-gec-1023-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::1A|ladcca-ch-gec-1023-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::1A|ladcca-ch-gec-1023-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,24,ladcca-ch-gec-1024-eth1,eth1,341,47.3.5.,27,27,2600:6c7f:91c0:40:1::,1B,"POD 1, eCDN Node Public",,47.3.5.27,ladcca-ch-gec-1024-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::1B,ladcca-ch-gec-1024-eth1.ladc.ca.charter.com,"add|a|47.3.5.27|ladcca-ch-gec-1024-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.27|ladcca-ch-gec-1024-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::1B|ladcca-ch-gec-1024-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::1B|ladcca-ch-gec-1024-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,25,ladcca-ch-gec-1025-eth1,eth1,341,47.3.5.,28,28,2600:6c7f:91c0:40:1::,1C,"POD 1, eCDN Node Public",,47.3.5.28,ladcca-ch-gec-1025-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::1C,ladcca-ch-gec-1025-eth1.ladc.ca.charter.com,"add|a|47.3.5.28|ladcca-ch-gec-1025-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.28|ladcca-ch-gec-1025-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::1C|ladcca-ch-gec-1025-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::1C|ladcca-ch-gec-1025-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,26,ladcca-ch-gec-1026-eth1,eth1,341,47.3.5.,29,29,2600:6c7f:91c0:40:1::,1D,"POD 1, eCDN Node Public",,47.3.5.29,ladcca-ch-gec-1026-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::1D,ladcca-ch-gec-1026-eth1.ladc.ca.charter.com,"add|a|47.3.5.29|ladcca-ch-gec-1026-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.29|ladcca-ch-gec-1026-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::1D|ladcca-ch-gec-1026-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::1D|ladcca-ch-gec-1026-eth1.ladc.ca.charter.com|3600",,
ladcca,1,0,ch-gec,27,ladcca-ch-gec-1027-eth1,eth1,341,47.3.5.,30,30,2600:6c7f:91c0:40:1::,1E,"POD 1, eCDN Node Public",,47.3.5.30,ladcca-ch-gec-1027-eth1.ladc.ca.charter.com,2600:6c7f:91c0:40:1::1E,ladcca-ch-gec-1027-eth1.ladc.ca.charter.com,"add|a|47.3.5.30|ladcca-ch-gec-1027-eth1.ladc.ca.charter.com|3600
add|ptr|47.3.5.30|ladcca-ch-gec-1027-eth1.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:1::1E|ladcca-ch-gec-1027-eth1.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:1::1E|ladcca-ch-gec-1027-eth1.ladc.ca.charter.com|3600",,
