DC,POD,Cluster,Type,No.,Hostnameÿ,Interfaceÿ,VLANÿ,v4 Base,IPv4ÿ,Cntr,v6 Base,IPv6,Descriptionÿ,,IPv4,DNS A Records,IPv6,DNS AAAA Records,For DNS Tickets,"For Terraforms (copy to Word Pad first, then copy from there to .tfvars file)",
ladcca,1,0,ib-acr,24,ladcca-ib-acr-1024,eth0,342,47.3.3.,201,201,2600:6c7f:91c0:40:2::,C9,POD 1 Read Accessor,,47.3.3.201,ladcca-ib-acr-1024.ladc.ca.charter.com,2600:6c7f:91c0:40:2::C9,ladcca-ib-acr-1024.ladc.ca.charter.com,"add|a|47.3.3.201|ladcca-ib-acr-1024.ladc.ca.charter.com|3600
add|ptr|47.3.3.201|ladcca-ib-acr-1024.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::C9|ladcca-ib-acr-1024.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::C9|ladcca-ib-acr-1024.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.201"", ip6_addr = ""2600:6c7f:91c0:40:2::C9""
    vm_name = ""ladcca-ib-acr-1024"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,25,ladcca-ib-acr-1025,eth0,342,47.3.3.,202,202,2600:6c7f:91c0:40:2::,CA,POD 1 Read Accessor,,47.3.3.202,ladcca-ib-acr-1025.ladc.ca.charter.com,2600:6c7f:91c0:40:2::CA,ladcca-ib-acr-1025.ladc.ca.charter.com,"add|a|47.3.3.202|ladcca-ib-acr-1025.ladc.ca.charter.com|3600
add|ptr|47.3.3.202|ladcca-ib-acr-1025.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::CA|ladcca-ib-acr-1025.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::CA|ladcca-ib-acr-1025.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.202"", ip6_addr = ""2600:6c7f:91c0:40:2::CA""
    vm_name = ""ladcca-ib-acr-1025"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,26,ladcca-ib-acr-1026,eth0,342,47.3.3.,203,203,2600:6c7f:91c0:40:2::,CB,POD 1 Read Accessor,,47.3.3.203,ladcca-ib-acr-1026.ladc.ca.charter.com,2600:6c7f:91c0:40:2::CB,ladcca-ib-acr-1026.ladc.ca.charter.com,"add|a|47.3.3.203|ladcca-ib-acr-1026.ladc.ca.charter.com|3600
add|ptr|47.3.3.203|ladcca-ib-acr-1026.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::CB|ladcca-ib-acr-1026.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::CB|ladcca-ib-acr-1026.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.203"", ip6_addr = ""2600:6c7f:91c0:40:2::CB""
    vm_name = ""ladcca-ib-acr-1026"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,27,ladcca-ib-acr-1027,eth0,342,47.3.3.,204,204,2600:6c7f:91c0:40:2::,CC,POD 1 Read Accessor,,47.3.3.204,ladcca-ib-acr-1027.ladc.ca.charter.com,2600:6c7f:91c0:40:2::CC,ladcca-ib-acr-1027.ladc.ca.charter.com,"add|a|47.3.3.204|ladcca-ib-acr-1027.ladc.ca.charter.com|3600
add|ptr|47.3.3.204|ladcca-ib-acr-1027.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::CC|ladcca-ib-acr-1027.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::CC|ladcca-ib-acr-1027.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.204"", ip6_addr = ""2600:6c7f:91c0:40:2::CC""
    vm_name = ""ladcca-ib-acr-1027"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,28,ladcca-ib-acr-1028,eth0,342,47.3.3.,205,205,2600:6c7f:91c0:40:2::,CD,POD 1 Read Accessor,,47.3.3.205,ladcca-ib-acr-1028.ladc.ca.charter.com,2600:6c7f:91c0:40:2::CD,ladcca-ib-acr-1028.ladc.ca.charter.com,"add|a|47.3.3.205|ladcca-ib-acr-1028.ladc.ca.charter.com|3600
add|ptr|47.3.3.205|ladcca-ib-acr-1028.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::CD|ladcca-ib-acr-1028.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::CD|ladcca-ib-acr-1028.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.205"", ip6_addr = ""2600:6c7f:91c0:40:2::CD""
    vm_name = ""ladcca-ib-acr-1028"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,29,ladcca-ib-acr-1029,eth0,342,47.3.3.,206,206,2600:6c7f:91c0:40:2::,CE,POD 1 Read Accessor,,47.3.3.206,ladcca-ib-acr-1029.ladc.ca.charter.com,2600:6c7f:91c0:40:2::CE,ladcca-ib-acr-1029.ladc.ca.charter.com,"add|a|47.3.3.206|ladcca-ib-acr-1029.ladc.ca.charter.com|3600
add|ptr|47.3.3.206|ladcca-ib-acr-1029.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::CE|ladcca-ib-acr-1029.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::CE|ladcca-ib-acr-1029.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.206"", ip6_addr = ""2600:6c7f:91c0:40:2::CE""
    vm_name = ""ladcca-ib-acr-1029"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,30,ladcca-ib-acr-1030,eth0,342,47.3.3.,207,207,2600:6c7f:91c0:40:2::,CF,POD 1 Read Accessor,,47.3.3.207,ladcca-ib-acr-1030.ladc.ca.charter.com,2600:6c7f:91c0:40:2::CF,ladcca-ib-acr-1030.ladc.ca.charter.com,"add|a|47.3.3.207|ladcca-ib-acr-1030.ladc.ca.charter.com|3600
add|ptr|47.3.3.207|ladcca-ib-acr-1030.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::CF|ladcca-ib-acr-1030.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::CF|ladcca-ib-acr-1030.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.207"", ip6_addr = ""2600:6c7f:91c0:40:2::CF""
    vm_name = ""ladcca-ib-acr-1030"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,31,ladcca-ib-acr-1031,eth0,342,47.3.3.,208,208,2600:6c7f:91c0:40:2::,D0,POD 1 Read Accessor,,47.3.3.208,ladcca-ib-acr-1031.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D0,ladcca-ib-acr-1031.ladc.ca.charter.com,"add|a|47.3.3.208|ladcca-ib-acr-1031.ladc.ca.charter.com|3600
add|ptr|47.3.3.208|ladcca-ib-acr-1031.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D0|ladcca-ib-acr-1031.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D0|ladcca-ib-acr-1031.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.208"", ip6_addr = ""2600:6c7f:91c0:40:2::D0""
    vm_name = ""ladcca-ib-acr-1031"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,32,ladcca-ib-acr-1032,eth0,342,47.3.3.,209,209,2600:6c7f:91c0:40:2::,D1,POD 1 Read Accessor,,47.3.3.209,ladcca-ib-acr-1032.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D1,ladcca-ib-acr-1032.ladc.ca.charter.com,"add|a|47.3.3.209|ladcca-ib-acr-1032.ladc.ca.charter.com|3600
add|ptr|47.3.3.209|ladcca-ib-acr-1032.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D1|ladcca-ib-acr-1032.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D1|ladcca-ib-acr-1032.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.209"", ip6_addr = ""2600:6c7f:91c0:40:2::D1""
    vm_name = ""ladcca-ib-acr-1032"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,33,ladcca-ib-acr-1033,eth0,342,47.3.3.,210,210,2600:6c7f:91c0:40:2::,D2,POD 1 Read Accessor,,47.3.3.210,ladcca-ib-acr-1033.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D2,ladcca-ib-acr-1033.ladc.ca.charter.com,"add|a|47.3.3.210|ladcca-ib-acr-1033.ladc.ca.charter.com|3600
add|ptr|47.3.3.210|ladcca-ib-acr-1033.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D2|ladcca-ib-acr-1033.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D2|ladcca-ib-acr-1033.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.210"", ip6_addr = ""2600:6c7f:91c0:40:2::D2""
    vm_name = ""ladcca-ib-acr-1033"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,34,ladcca-ib-acr-1034,eth0,342,47.3.3.,211,211,2600:6c7f:91c0:40:2::,D3,POD 1 Read Accessor,,47.3.3.211,ladcca-ib-acr-1034.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D3,ladcca-ib-acr-1034.ladc.ca.charter.com,"add|a|47.3.3.211|ladcca-ib-acr-1034.ladc.ca.charter.com|3600
add|ptr|47.3.3.211|ladcca-ib-acr-1034.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D3|ladcca-ib-acr-1034.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D3|ladcca-ib-acr-1034.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.211"", ip6_addr = ""2600:6c7f:91c0:40:2::D3""
    vm_name = ""ladcca-ib-acr-1034"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,35,ladcca-ib-acr-1035,eth0,342,47.3.3.,212,212,2600:6c7f:91c0:40:2::,D4,POD 1 Read Accessor,,47.3.3.212,ladcca-ib-acr-1035.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D4,ladcca-ib-acr-1035.ladc.ca.charter.com,"add|a|47.3.3.212|ladcca-ib-acr-1035.ladc.ca.charter.com|3600
add|ptr|47.3.3.212|ladcca-ib-acr-1035.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D4|ladcca-ib-acr-1035.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D4|ladcca-ib-acr-1035.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.212"", ip6_addr = ""2600:6c7f:91c0:40:2::D4""
    vm_name = ""ladcca-ib-acr-1035"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,36,ladcca-ib-acr-1036,eth0,342,47.3.3.,213,213,2600:6c7f:91c0:40:2::,D5,POD 1 Read Accessor,,47.3.3.213,ladcca-ib-acr-1036.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D5,ladcca-ib-acr-1036.ladc.ca.charter.com,"add|a|47.3.3.213|ladcca-ib-acr-1036.ladc.ca.charter.com|3600
add|ptr|47.3.3.213|ladcca-ib-acr-1036.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D5|ladcca-ib-acr-1036.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D5|ladcca-ib-acr-1036.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.213"", ip6_addr = ""2600:6c7f:91c0:40:2::D5""
    vm_name = ""ladcca-ib-acr-1036"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,37,ladcca-ib-acr-1037,eth0,342,47.3.3.,214,214,2600:6c7f:91c0:40:2::,D6,POD 1 Read Accessor,,47.3.3.214,ladcca-ib-acr-1037.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D6,ladcca-ib-acr-1037.ladc.ca.charter.com,"add|a|47.3.3.214|ladcca-ib-acr-1037.ladc.ca.charter.com|3600
add|ptr|47.3.3.214|ladcca-ib-acr-1037.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D6|ladcca-ib-acr-1037.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D6|ladcca-ib-acr-1037.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.214"", ip6_addr = ""2600:6c7f:91c0:40:2::D6""
    vm_name = ""ladcca-ib-acr-1037"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,38,ladcca-ib-acr-1038,eth0,342,47.3.3.,215,215,2600:6c7f:91c0:40:2::,D7,POD 1 Read Accessor,,47.3.3.215,ladcca-ib-acr-1038.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D7,ladcca-ib-acr-1038.ladc.ca.charter.com,"add|a|47.3.3.215|ladcca-ib-acr-1038.ladc.ca.charter.com|3600
add|ptr|47.3.3.215|ladcca-ib-acr-1038.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D7|ladcca-ib-acr-1038.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D7|ladcca-ib-acr-1038.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.215"", ip6_addr = ""2600:6c7f:91c0:40:2::D7""
    vm_name = ""ladcca-ib-acr-1038"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,39,ladcca-ib-acr-1039,eth0,342,47.3.3.,216,216,2600:6c7f:91c0:40:2::,D8,POD 1 Read Accessor,,47.3.3.216,ladcca-ib-acr-1039.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D8,ladcca-ib-acr-1039.ladc.ca.charter.com,"add|a|47.3.3.216|ladcca-ib-acr-1039.ladc.ca.charter.com|3600
add|ptr|47.3.3.216|ladcca-ib-acr-1039.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D8|ladcca-ib-acr-1039.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D8|ladcca-ib-acr-1039.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.216"", ip6_addr = ""2600:6c7f:91c0:40:2::D8""
    vm_name = ""ladcca-ib-acr-1039"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,40,ladcca-ib-acr-1040,eth0,342,47.3.3.,217,217,2600:6c7f:91c0:40:2::,D9,POD 1 Read Accessor,,47.3.3.217,ladcca-ib-acr-1040.ladc.ca.charter.com,2600:6c7f:91c0:40:2::D9,ladcca-ib-acr-1040.ladc.ca.charter.com,"add|a|47.3.3.217|ladcca-ib-acr-1040.ladc.ca.charter.com|3600
add|ptr|47.3.3.217|ladcca-ib-acr-1040.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::D9|ladcca-ib-acr-1040.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::D9|ladcca-ib-acr-1040.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.217"", ip6_addr = ""2600:6c7f:91c0:40:2::D9""
    vm_name = ""ladcca-ib-acr-1040"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,41,ladcca-ib-acr-1041,eth0,342,47.3.3.,218,218,2600:6c7f:91c0:40:2::,DA,POD 1 Read Accessor,,47.3.3.218,ladcca-ib-acr-1041.ladc.ca.charter.com,2600:6c7f:91c0:40:2::DA,ladcca-ib-acr-1041.ladc.ca.charter.com,"add|a|47.3.3.218|ladcca-ib-acr-1041.ladc.ca.charter.com|3600
add|ptr|47.3.3.218|ladcca-ib-acr-1041.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::DA|ladcca-ib-acr-1041.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::DA|ladcca-ib-acr-1041.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.218"", ip6_addr = ""2600:6c7f:91c0:40:2::DA""
    vm_name = ""ladcca-ib-acr-1041"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,42,ladcca-ib-acr-1042,eth0,342,47.3.3.,219,219,2600:6c7f:91c0:40:2::,DB,POD 1 Read Accessor,,47.3.3.219,ladcca-ib-acr-1042.ladc.ca.charter.com,2600:6c7f:91c0:40:2::DB,ladcca-ib-acr-1042.ladc.ca.charter.com,"add|a|47.3.3.219|ladcca-ib-acr-1042.ladc.ca.charter.com|3600
add|ptr|47.3.3.219|ladcca-ib-acr-1042.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::DB|ladcca-ib-acr-1042.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::DB|ladcca-ib-acr-1042.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.219"", ip6_addr = ""2600:6c7f:91c0:40:2::DB""
    vm_name = ""ladcca-ib-acr-1042"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,43,ladcca-ib-acr-1043,eth0,342,47.3.3.,220,220,2600:6c7f:91c0:40:2::,DC,POD 1 Read Accessor,,47.3.3.220,ladcca-ib-acr-1043.ladc.ca.charter.com,2600:6c7f:91c0:40:2::DC,ladcca-ib-acr-1043.ladc.ca.charter.com,"add|a|47.3.3.220|ladcca-ib-acr-1043.ladc.ca.charter.com|3600
add|ptr|47.3.3.220|ladcca-ib-acr-1043.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::DC|ladcca-ib-acr-1043.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::DC|ladcca-ib-acr-1043.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.220"", ip6_addr = ""2600:6c7f:91c0:40:2::DC""
    vm_name = ""ladcca-ib-acr-1043"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,44,ladcca-ib-acr-1044,eth0,342,47.3.3.,221,221,2600:6c7f:91c0:40:2::,DD,POD 1 Read Accessor,,47.3.3.221,ladcca-ib-acr-1044.ladc.ca.charter.com,2600:6c7f:91c0:40:2::DD,ladcca-ib-acr-1044.ladc.ca.charter.com,"add|a|47.3.3.221|ladcca-ib-acr-1044.ladc.ca.charter.com|3600
add|ptr|47.3.3.221|ladcca-ib-acr-1044.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::DD|ladcca-ib-acr-1044.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::DD|ladcca-ib-acr-1044.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.221"", ip6_addr = ""2600:6c7f:91c0:40:2::DD""
    vm_name = ""ladcca-ib-acr-1044"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,45,ladcca-ib-acr-1045,eth0,342,47.3.3.,222,222,2600:6c7f:91c0:40:2::,DE,POD 1 Read Accessor,,47.3.3.222,ladcca-ib-acr-1045.ladc.ca.charter.com,2600:6c7f:91c0:40:2::DE,ladcca-ib-acr-1045.ladc.ca.charter.com,"add|a|47.3.3.222|ladcca-ib-acr-1045.ladc.ca.charter.com|3600
add|ptr|47.3.3.222|ladcca-ib-acr-1045.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::DE|ladcca-ib-acr-1045.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::DE|ladcca-ib-acr-1045.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.222"", ip6_addr = ""2600:6c7f:91c0:40:2::DE""
    vm_name = ""ladcca-ib-acr-1045"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,46,ladcca-ib-acr-1046,eth0,342,47.3.3.,223,223,2600:6c7f:91c0:40:2::,DF,POD 1 Read Accessor,,47.3.3.223,ladcca-ib-acr-1046.ladc.ca.charter.com,2600:6c7f:91c0:40:2::DF,ladcca-ib-acr-1046.ladc.ca.charter.com,"add|a|47.3.3.223|ladcca-ib-acr-1046.ladc.ca.charter.com|3600
add|ptr|47.3.3.223|ladcca-ib-acr-1046.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::DF|ladcca-ib-acr-1046.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::DF|ladcca-ib-acr-1046.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.223"", ip6_addr = ""2600:6c7f:91c0:40:2::DF""
    vm_name = ""ladcca-ib-acr-1046"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,47,ladcca-ib-acr-1047,eth0,342,47.3.3.,224,224,2600:6c7f:91c0:40:2::,E0,POD 1 Read Accessor,,47.3.3.224,ladcca-ib-acr-1047.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E0,ladcca-ib-acr-1047.ladc.ca.charter.com,"add|a|47.3.3.224|ladcca-ib-acr-1047.ladc.ca.charter.com|3600
add|ptr|47.3.3.224|ladcca-ib-acr-1047.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E0|ladcca-ib-acr-1047.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E0|ladcca-ib-acr-1047.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.224"", ip6_addr = ""2600:6c7f:91c0:40:2::E0""
    vm_name = ""ladcca-ib-acr-1047"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,48,ladcca-ib-acr-1048,eth0,342,47.3.3.,225,225,2600:6c7f:91c0:40:2::,E1,POD 1 Read Accessor,,47.3.3.225,ladcca-ib-acr-1048.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E1,ladcca-ib-acr-1048.ladc.ca.charter.com,"add|a|47.3.3.225|ladcca-ib-acr-1048.ladc.ca.charter.com|3600
add|ptr|47.3.3.225|ladcca-ib-acr-1048.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E1|ladcca-ib-acr-1048.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E1|ladcca-ib-acr-1048.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.225"", ip6_addr = ""2600:6c7f:91c0:40:2::E1""
    vm_name = ""ladcca-ib-acr-1048"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,49,ladcca-ib-acr-1049,eth0,342,47.3.3.,226,226,2600:6c7f:91c0:40:2::,E2,POD 1 Read Accessor,,47.3.3.226,ladcca-ib-acr-1049.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E2,ladcca-ib-acr-1049.ladc.ca.charter.com,"add|a|47.3.3.226|ladcca-ib-acr-1049.ladc.ca.charter.com|3600
add|ptr|47.3.3.226|ladcca-ib-acr-1049.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E2|ladcca-ib-acr-1049.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E2|ladcca-ib-acr-1049.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.226"", ip6_addr = ""2600:6c7f:91c0:40:2::E2""
    vm_name = ""ladcca-ib-acr-1049"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,50,ladcca-ib-acr-1050,eth0,342,47.3.3.,227,227,2600:6c7f:91c0:40:2::,E3,POD 1 Read Accessor,,47.3.3.227,ladcca-ib-acr-1050.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E3,ladcca-ib-acr-1050.ladc.ca.charter.com,"add|a|47.3.3.227|ladcca-ib-acr-1050.ladc.ca.charter.com|3600
add|ptr|47.3.3.227|ladcca-ib-acr-1050.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E3|ladcca-ib-acr-1050.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E3|ladcca-ib-acr-1050.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.227"", ip6_addr = ""2600:6c7f:91c0:40:2::E3""
    vm_name = ""ladcca-ib-acr-1050"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,51,ladcca-ib-acr-1051,eth0,342,47.3.3.,228,228,2600:6c7f:91c0:40:2::,E4,POD 1 Read Accessor,,47.3.3.228,ladcca-ib-acr-1051.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E4,ladcca-ib-acr-1051.ladc.ca.charter.com,"add|a|47.3.3.228|ladcca-ib-acr-1051.ladc.ca.charter.com|3600
add|ptr|47.3.3.228|ladcca-ib-acr-1051.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E4|ladcca-ib-acr-1051.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E4|ladcca-ib-acr-1051.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.228"", ip6_addr = ""2600:6c7f:91c0:40:2::E4""
    vm_name = ""ladcca-ib-acr-1051"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,52,ladcca-ib-acr-1052,eth0,342,47.3.3.,229,229,2600:6c7f:91c0:40:2::,E5,POD 1 Read Accessor,,47.3.3.229,ladcca-ib-acr-1052.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E5,ladcca-ib-acr-1052.ladc.ca.charter.com,"add|a|47.3.3.229|ladcca-ib-acr-1052.ladc.ca.charter.com|3600
add|ptr|47.3.3.229|ladcca-ib-acr-1052.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E5|ladcca-ib-acr-1052.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E5|ladcca-ib-acr-1052.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.229"", ip6_addr = ""2600:6c7f:91c0:40:2::E5""
    vm_name = ""ladcca-ib-acr-1052"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,53,ladcca-ib-acr-1053,eth0,342,47.3.3.,230,230,2600:6c7f:91c0:40:2::,E6,POD 1 Read Accessor,,47.3.3.230,ladcca-ib-acr-1053.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E6,ladcca-ib-acr-1053.ladc.ca.charter.com,"add|a|47.3.3.230|ladcca-ib-acr-1053.ladc.ca.charter.com|3600
add|ptr|47.3.3.230|ladcca-ib-acr-1053.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E6|ladcca-ib-acr-1053.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E6|ladcca-ib-acr-1053.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.230"", ip6_addr = ""2600:6c7f:91c0:40:2::E6""
    vm_name = ""ladcca-ib-acr-1053"", ip6_addr2 = """"
  },",
ladcca,1,0,ib-acr,54,ladcca-ib-acr-1054,eth0,342,47.3.3.,231,231,2600:6c7f:91c0:40:2::,E7,POD 1 Read Accessor,,47.3.3.231,ladcca-ib-acr-1054.ladc.ca.charter.com,2600:6c7f:91c0:40:2::E7,ladcca-ib-acr-1054.ladc.ca.charter.com,"add|a|47.3.3.231|ladcca-ib-acr-1054.ladc.ca.charter.com|3600
add|ptr|47.3.3.231|ladcca-ib-acr-1054.ladc.ca.charter.com|3600
add|aaaa|2600:6c7f:91c0:40:2::E7|ladcca-ib-acr-1054.ladc.ca.charter.com|3600
add|ptr|2600:6c7f:91c0:40:2::E7|ladcca-ib-acr-1054.ladc.ca.charter.com|3600","  {
    ip_addr = ""47.3.3.231"", ip6_addr = ""2600:6c7f:91c0:40:2::E7""
    vm_name = ""ladcca-ib-acr-1054"", ip6_addr2 = """"
  },",
