POD	Type	No.	Hostname 	Interface 	VLAN 		IPv4 	Cntr		IPv6	Description 	Orig Line	4Net1	4Net2	4Net3	4Net4		6net		IPv4	DNS A Records	IPv6	DNS AAAA Records
1	ci-cbb	11	cdptpabb-ci-cbb-0011	eth0	910	75.179.249.	180	20	2001:1998:064f:010c::	14	Couchbase 11	39	75	179	249	160	75.179.249.180	010c		75.179.249.180	cdptpabb-ci-cbb-0011.cdvr.stage.charter.com	2001:1998:064f:010c::14	cdptpabb-ci-cbb-0011.cdvr.stage.charter.com
1	ci-cbb	12	cdptpabb-ci-cbb-0012	eth0	910	75.179.249.	181	21	2001:1998:064f:010c::	15	Couchbase 12	40	75	179	249	160	75.179.249.181	010c		75.179.249.181	cdptpabb-ci-cbb-0012.cdvr.stage.charter.com	2001:1998:064f:010c::15	cdptpabb-ci-cbb-0012.cdvr.stage.charter.com
			Open		910	75.179.249.	182	22	2001:1998:064f:010c::	16		41	75	179	249	160	75.179.249.182	010c					
			Open		910	75.179.249.	183	23	2001:1998:064f:010c::	17		42	75	179	249	160	75.179.249.183	010c					
			Open		910	75.179.249.	184	24	2001:1998:064f:010c::	18		43	75	179	249	160	75.179.249.184	010c					
			Open		910	75.179.249.	185	25	2001:1998:064f:010c::	19		44	75	179	249	160	75.179.249.185	010c					
			Open		910	75.179.249.	186	26	2001:1998:064f:010c::	1A		45	75	179	249	160	75.179.249.186	010c					
			Open		910	75.179.249.	187	27	2001:1998:064f:010c::	1B		46	75	179	249	160	75.179.249.187	010c					
			Open		910	75.179.249.	188	28	2001:1998:064f:010c::	1C		47	75	179	249	160	75.179.249.188	010c					
			Open		910	75.179.249.	189	29	2001:1998:064f:010c::	1D		48	75	179	249	160	75.179.249.189	010c					
			Open		910	75.179.249.	190	30	2001:1998:064f:010c::	1E		49	75	179	249	160	75.179.249.190	010c					
			Broadcast		910	75.179.249.	191			ffff:ffff:ffff:ffff		50	75	179	249	160	75.179.249.191	010c					
												51											
			"IPv4 Network: 75.179.249.0/28
MASK: 255.255.255.240
IPv6 Network: 2001:1998:064f:0101::/64"		110		0				"RDC 1, POD 2, Public Internet
domain: cdvr.stage.charter.com"	52	75	179	249	0	75.179.249.0	0101					
			VRRP VIP		110	75.179.249.	1	1	2001:1998:064f:0101::	1		53	75	179	249	0	75.179.249.1	0101					
					110	75.179.249.	2	2	2001:1998:064f:0101::	2		54	75	179	249	0	75.179.249.2	0101					
			Router 2		110	75.179.249.	3	3	2001:1998:064f:0101::	3		55	75	179	249	0	75.179.249.3	0101					
2	ch-gec	1	cdptpabb-ch-gec-2001-eth1	eth1	110	75.179.249.	4	4	2001:1998:064f:0101::	4	POD 2 eCDN Public Facing 1	56	75	179	249	0	75.179.249.4	0101					
2	ch-gec	2	cdptpabb-ch-gec-2002-eth1	eth1	110	75.179.249.	5	5	2001:1998:064f:0101::	5	POD 2 eCDN Public Facing 2	57	75	179	249	0	75.179.249.5	0101					
2	ch-gec	3	cdptpabb-ch-gec-2003-eth1	eth1	110	75.179.249.	6	6	2001:1998:064f:0101::	6	POD 2 eCDN Public Facing 3	58	75	179	249	0	75.179.249.6	0101					
2	ch-gec	4	cdptpabb-ch-gec-2004-eth1	eth1	110	75.179.249.	7	7	2001:1998:064f:0101::	7	POD 2 eCDN Public Facing 4	59	75	179	249	0	75.179.249.7	0101					
			Open		110	75.179.249.	8	8	2001:1998:064f:0101::	8		60	75	179	249	0	75.179.249.8	0101					
			Open		110	75.179.249.	9	9	2001:1998:064f:0101::	9		61	75	179	249	0	75.179.249.9	0101					
			Open		110	75.179.249.	10	10	2001:1998:064f:0101::	A		62	75	179	249	0	75.179.249.10	0101					
			Open		110	75.179.249.	11	11	2001:1998:064f:0101::	B		63	75	179	249	0	75.179.249.11	0101					
			Open		110	75.179.249.	12	12	2001:1998:064f:0101::	C		64	75	179	249	0	75.179.249.12	0101					
			Open		110	75.179.249.	13	13	2001:1998:064f:0101::	D		65	75	179	249	0	75.179.249.13	0101					
			Open		110	75.179.249.	14	14	2001:1998:064f:0101::	E		66	75	179	249	0	75.179.249.14	0101					
			Broadcast		110	75.179.249.	15			ffff:ffff:ffff:ffff		67	75	179	249	0	75.179.249.15	0101					
												68											
			"IPv4 Network: 75.179.249.16/28
MASK: 255.255.255.240
IPv6 Network: 2001:1998:064f:0102::/64"		310		16				"RDC 1, POD 3, Public Internet
domain: cdvr.stage.charter.com"	69	75	179	249	16	75.179.249.16	0102					
			VRRP VIP		310	75.179.249.	17	1	2001:1998:064f:0102::	1		70	75	179	249	16	75.179.249.17	0102					
			Router 1		310	75.179.249.	18	2	2001:1998:064f:0102::	2		71	75	179	249	16	75.179.249.18	0102					
			Router 2		310	75.179.249.	19	3	2001:1998:064f:0102::	3		72	75	179	249	16	75.179.249.19	0102					
3	ch-gec	1001	cdptpabb-ch-gec-3001-eth1	eth1	310	75.179.249.	20	4	2001:1998:064f:0102::	4	POD 3 eCDN Public Facing 1001	73	75	179	249	16	75.179.249.20	0102					
3	ch-gec	1002	cdptpabb-ch-gec-3002-eth1	eth1	310	75.179.249.	21	5	2001:1998:064f:0102::	5	POD 3 eCDN Public Facing 1002	74	75	179	249	16	75.179.249.21	0102					
3	ch-gec	1003	cdptpabb-ch-gec-3003-eth1	eth1	310	75.179.249.	22	6	2001:1998:064f:0102::	6	POD 3 eCDN Public Facing 1003	75	75	179	249	16	75.179.249.22	0102					
3	ch-gec	1004	cdptpabb-ch-gec-3004-eth1	eth1	310	75.179.249.	23	7	2001:1998:064f:0102::	7	POD 3 eCDN Public Facing 1004	76	75	179	249	16	75.179.249.23	0102					
			Open		310	75.179.249.	24	8	2001:1998:064f:0102::	8		77	75	179	249	16	75.179.249.24	0102					
			Open		310	75.179.249.	25	9	2001:1998:064f:0102::	9		78	75	179	249	16	75.179.249.25	0102					
			Open		310	75.179.249.	26	10	2001:1998:064f:0102::	A		79	75	179	249	16	75.179.249.26	0102					
			Open		310	75.179.249.	27	11	2001:1998:064f:0102::	B		80	75	179	249	16	75.179.249.27	0102					
			Open		310	75.179.249.	28	12	2001:1998:064f:0102::	C		81	75	179	249	16	75.179.249.28	0102					
			Open		310	75.179.249.	29	13	2001:1998:064f:0102::	D		82	75	179	249	16	75.179.249.29	0102					
			Open		310	75.179.249.	30	14	2001:1998:064f:0102::	E		83	75	179	249	16	75.179.249.30	0102					
			Broadcast		310	75.179.249.	31			ffff:ffff:ffff:ffff		84	75	179	249	16	75.179.249.31	0102					
												85											
			"IPv4 Network: 75.179.249.32/28
MASK: 255.255.255.240
IPv6 Network: 2001:1998:064f:0103::/64"		120		32				"RDC 1, POD 2, JITP
domain: cdvr.stage.charter.com"	86	75	179	249	32	75.179.249.32	0103					
			VRRP VIP		120	75.179.249.	33	1	2001:1998:064f:0103::	1		87	75	179	249	32	75.179.249.33	0103					
			Router 1		120	75.179.249.	34	2	2001:1998:064f:0103::	2		88	75	179	249	32	75.179.249.34	0103					
			Router 2		120	75.179.249.	35	3	2001:1998:064f:0103::	3		89	75	179	249	32	75.179.249.35	0103					
